metric_scope,RMSE,MAE,Pearson_r,CI95_coverage
P_predictability,0.06965817738357052,0.06231573783469168,0.5827200385184549,0.915068493150685
M_mutuality,0.03137679776055696,0.024984466795368726,0.47969958933834483,1.0
V_voluntariness,0.03437146723968213,0.02847908561112049,-0.1687523536118124,1.0
C_shared_context,0.10449046943460036,0.09899834657153425,0.9008732419026316,0.5780821917808219
E_state_sharing,0.06714854361550061,0.0531296202270878,0.37767671166545613,0.9780821917808219
F_friction,0.032165159892604815,0.025307435532297293,0.4050796650878015,0.9945205479452055
relationship_index_R,0.023280721898628603,0.019628673077541493,0.6182006618523948,
mode_classification_accuracy,,,0.7780821917808219,
