sample_id,scenario,true_mode,estimated_mode,ESS,true_P,est_P,ci95_low_P,ci95_high_P,true_M,est_M,ci95_low_M,ci95_high_M,true_V,est_V,ci95_low_V,ci95_high_V,true_C,est_C,ci95_low_C,ci95_high_C,true_E,est_E,ci95_low_E,ci95_high_E,true_F,est_F,ci95_low_F,ci95_high_F,true_R,est_R
14,cozy-normal-year,Normal,Normal,3972.186530782717,0.7965448070151834,0.6857869016706033,0.5524066598157055,0.8155000576696902,0.6298716378002097,0.6386601282014923,0.5039587726697867,0.7759042024648873,0.9009208827764228,0.8449124562210422,0.731729204271989,0.957389445912094,0.7240700349669345,0.7098029516745794,0.5463454477470926,0.871515378130541,0.37256482087549414,0.4040393379012759,0.21452431932495267,0.5915139246103452,0.17816351818044052,0.161384723011826,0.04873794336842127,0.27952439849316413,0.7200471353410398,0.6939634927311805
15,cozy-normal-year,Recovery,Normal,1084.799577874117,0.8011914382276399,0.6886331401608178,0.5575214671570015,0.8162908242524358,0.6428995082663915,0.6367663291202046,0.5072263753585202,0.7754098208167545,0.8863863376277129,0.8475800458942812,0.7343066147108932,0.9614782058687994,0.7666843919558001,0.7098859550872605,0.5484317728318443,0.8706906504698853,0.36017761693633343,0.4012373403709734,0.2147998434910633,0.5896371044962598,0.1727144761405878,0.15665453455830067,0.05068116263901831,0.26920609814933977,0.7272341964349816,0.6947139634867933
16,cozy-normal-year,Normal,Normal,4842.7561351041495,0.79973417250627,0.693929229897871,0.5634999112894289,0.816962171181582,0.6286349053056887,0.6450101114373861,0.5193359119105248,0.7798324784270623,0.8858498308245403,0.8544039695925721,0.7454751027966089,0.9626906628306184,0.7633676335622959,0.7124624934960994,0.5537844109623385,0.870297554302274,0.33536217348064207,0.3978162707728824,0.21526694097915045,0.5823385517348889,0.17836785544075365,0.15081013592328643,0.043503766487371,0.2627734657543952,0.7194727184512214,0.699713358311542
17,cozy-normal-year,Busy,Busy,1105.6417530710453,0.7972387303078949,0.6944734896483924,0.5643509982593917,0.8290638437670258,0.636284324813661,0.6393078623618451,0.5126245554019474,0.7704562933856471,0.8694245109290069,0.8549065137612184,0.7493244372408957,0.9624263273787333,0.7618594751657481,0.7147758135802197,0.5509483073576382,0.8705406428332474,0.3112746337006353,0.3945595863138112,0.22050683070525248,0.5734492968380095,0.2046490219579655,0.1609285292205256,0.05291387730167617,0.2658192034749486,0.7121317783824307,0.6974863282247175
18,cozy-normal-year,Busy,Normal,4072.599956959611,0.7946484621056653,0.6832194518312272,0.5546849479654558,0.8112816939202405,0.6322120055369602,0.6376524451552145,0.5096880732067162,0.7631422158053582,0.8694494671626815,0.8559941786289859,0.7516771286622734,0.9618291436771674,0.7506326469881811,0.7159518373620307,0.5622189981065636,0.8663219623865234,0.323233435327023,0.3944563446658298,0.2203359218815433,0.5705808586551975,0.20683912045867953,0.15981462625137458,0.053208753291032376,0.26437571590917763,0.7099526073540096,0.6955524776102504
19,cozy-normal-year,Busy,Normal,2722.364664635407,0.8050377294114589,0.6742677999808255,0.553757607330425,0.7977114126178053,0.619208004687219,0.6481307060397694,0.5212276656124252,0.7689370788549978,0.8724489270209396,0.8611421223288318,0.7596623414429454,0.9620925253385695,0.7351731419480492,0.7327724869984258,0.5852866458845826,0.8760357073016993,0.3165901242296012,0.40475488525153397,0.2302951479907724,0.5770370117390935,0.21259571414156742,0.1536290198929611,0.050057426336976886,0.2589823381811273,0.7053916228328425,0.7020330382803781
20,cozy-normal-year,Busy,Busy,2027.1466699515474,0.775661173926747,0.6733454317908957,0.5526083081129665,0.801537021536661,0.6150367102597669,0.6369249432414166,0.5146176250394426,0.7601898003369859,0.8700432978528927,0.8614953773715782,0.758768759175833,0.9591307020058033,0.7012883448981606,0.724217053226741,0.5819932899790141,0.867315736950252,0.3086362786512728,0.3888669945310346,0.21905279347561113,0.5615758470686204,0.21552504265816214,0.15757402418626074,0.053900945396385444,0.2580662944693602,0.6919904700118642,0.6956251845030972
21,cozy-normal-year,Busy,Busy,2136.405030723963,0.766137814011365,0.67735242444177,0.5556525302061459,0.807163836792984,0.6075748664221999,0.6187926182418212,0.4962147270342788,0.7423390679264997,0.8709680555680531,0.8594005574064909,0.751240112453513,0.958401666592037,0.6961013522159768,0.7139549092653404,0.5710532930630781,0.8571926286818218,0.3620449617472901,0.37699054937394993,0.2166732450040432,0.5507344881013987,0.2225833627947923,0.16883816971282628,0.07023663406043947,0.26634382005461466,0.6929349601084853,0.6873196313835784
22,cozy-normal-year,Normal,Normal,2487.2351801552504,0.7644443262746093,0.6818398741643864,0.5652173391359954,0.810637215656298,0.6227015305475637,0.6200541871774872,0.4974814293574518,0.7429998040726743,0.8466953443133659,0.8579195489569098,0.7558535300634568,0.9551669017990234,0.6925526236260089,0.716722490502274,0.5773146210967286,0.8568211145241078,0.36526535852721626,0.38796658679134394,0.223311784073568,0.5596262514600094,0.22612866340365956,0.1665232949408419,0.06681642716509151,0.2618702394781749,0.690989173106783,0.6900282274686708
23,cozy-normal-year,Normal,Normal,5078.842639748718,0.7602403080467052,0.6802734988684573,0.5675899141775124,0.7979592175282881,0.6010123089077611,0.6183448431529975,0.4975324303656016,0.7424198517005263,0.8611724413020145,0.8598209279702004,0.7591379636429488,0.9571214268599355,0.6815563139868791,0.7203782724397013,0.5851973416758376,0.8571670304243871,0.37690451379305817,0.39957217931724526,0.2330938004574759,0.5695350576627927,0.2339095630712434,0.16301961090937803,0.06601745972982137,0.25579992736334434,0.6864483713837628,0.6919111284029232
24,cozy-normal-year,Recovery,Normal,3507.4133753179526,0.7997129166949929,0.6737004928832101,0.561865817942431,0.7883424690543497,0.5960840419800214,0.6090783777018877,0.49173507505611946,0.7310536213587339,0.8653264865009267,0.8576930973363193,0.7594301988050589,0.9566620027888537,0.7128088971297017,0.7179652083778133,0.5839228010415068,0.8517577881584876,0.351491957866948,0.3962347646593777,0.22845640597243821,0.5622460886604018,0.22780542335013995,0.16479107831406545,0.06704020947894324,0.2569848384941089,0.6959676293713921,0.6870554522332888
25,cozy-normal-year,Normal,Normal,2362.314585097279,0.790291740633597,0.6768183768743705,0.5652242622664418,0.7902551617976739,0.598786805713316,0.6071922975914809,0.4964373757181412,0.726005543200454,0.854464754642047,0.8553570883192542,0.7565025128683195,0.9517483064990394,0.7063998909056802,0.7146864422170097,0.5846333392737235,0.8484120120345193,0.3276709377570356,0.38785789812730465,0.22099510900201308,0.5628053461817623,0.2333933319551899,0.1632056154101459,0.06632226679319131,0.2564714250297071,0.6885706181734497,0.6853904379068182
26,cozy-normal-year,Normal,Normal,4358.220432647808,0.7909896990835926,0.6973350456028241,0.5854397447635802,0.8093153522644654,0.6352669728147535,0.6244436185982171,0.507232923567846,0.7429704859342325,0.8579244168222366,0.8547971233865227,0.7553132099836833,0.9522520077547275,0.7078360180626598,0.7159023673698537,0.5913253093480964,0.8504112910530953,0.3257702182795917,0.3965753653461588,0.23263962294546925,0.5624176158371968,0.23103365635334794,0.16159060899203176,0.06572771575487213,0.2528311725122258,0.6987648936686282,0.6945992456034179
27,cozy-normal-year,Special,Normal,1110.648256906601,0.8122183309249466,0.6983415291903042,0.5928393237370153,0.8037879629246384,0.6582979013298805,0.6342109875026751,0.5184676183720833,0.7475554683792409,0.863308955657783,0.8601143641580364,0.7653538393368198,0.9591200048597838,0.7215692573465227,0.7254000313970301,0.6046223299070067,0.8606020894407518,0.3685082121383507,0.40549503356044736,0.23581515913784518,0.5617735221589679,0.22693672836534154,0.15020049539730473,0.05515427837531426,0.2460627364112383,0.7167288777046452,0.7019255041369745
28,cozy-normal-year,Normal,Normal,4674.232964522148,0.7885149885963341,0.7048590015699281,0.5982855265624648,0.8102212017568458,0.6491926168339986,0.6334496686048184,0.5141683784723214,0.7476654844483299,0.8615068408175632,0.8591448994703885,0.7620933267669722,0.9592723857858032,0.7322242608462872,0.7225190943586245,0.6025109160163965,0.8565380634035666,0.3534588498241008,0.39674201260207853,0.2354864345498365,0.556038545185191,0.21295544118471452,0.15036974140929743,0.056541001984905075,0.2451511903202235,0.711273031416938,0.7012737196705482
29,cozy-normal-year,Normal,Normal,3319.508930074251,0.7874581415947416,0.717072094858435,0.613720267681612,0.8226532140123167,0.6531173426090784,0.6414769641502034,0.5237429824444987,0.7556323888784798,0.8537220213666431,0.8581761127749237,0.7612412669662276,0.9563927885110315,0.7325495363956224,0.7184271696773976,0.5987964368219486,0.8488122119643081,0.3771948907715619,0.39028760887212127,0.23061265061134323,0.5509787041048176,0.21259283159854794,0.1524449223523016,0.05801263804454498,0.2465446305815591,0.7132062860609683,0.7037129325561408
30,cozy-normal-year,Normal,Normal,2739.8497925809847,0.7870293970789501,0.7192282440762264,0.6130393366205793,0.8245469369668808,0.6684024051105024,0.6403245154832402,0.5251900226418711,0.7549666592515876,0.8495839669121004,0.8562681401859458,0.7549595028430248,0.9537108353518193,0.7066078312081493,0.7233435155651421,0.5993698264661083,0.854535658601954,0.3742353759178903,0.4027820888351374,0.242808363957084,0.5637561626810371,0.20571218930591773,0.1526608873917063,0.059271227089954776,0.24712436646612718,0.7123346115479368,0.7055707443648372
31,cozy-normal-year,Normal,Normal,4884.924656389319,0.7776402416431188,0.7235960737640269,0.6172784095141318,0.8271131935985855,0.6563629219640493,0.640841759960925,0.5242347355348821,0.7564718200973505,0.8595317728494002,0.8558424591152,0.7576783400761046,0.9507314542108617,0.6993059268847772,0.7249237472815622,0.5979313330732129,0.853612728436561,0.3514542185458676,0.39872161868165656,0.24127147359328582,0.5594336809490882,0.19299891800201655,0.1534318840127311,0.06082596736998516,0.2466991395644142,0.7072213490980619,0.7061302143095551
32,cozy-normal-year,Normal,Busy,901.3628187243884,0.7710252188535119,0.7206483745578586,0.6075719234592386,0.8269450641613001,0.655399871318634,0.6449363151369315,0.53411468363889,0.7583371351881925,0.8535792939152564,0.8630262082952338,0.7704321265999605,0.9579861629628279,0.7152041414088007,0.7319511955835165,0.6084974012124239,0.8487525145851418,0.37897133945880684,0.4027164274830279,0.2442783587946907,0.5732182597766584,0.1899938743310287,0.1585030350963518,0.06815194624129332,0.2517902305319513,0.710470488539116,0.7091167226705548
33,cozy-normal-year,Normal,Normal,2597.776534870614,0.7775750483835725,0.7287259322838584,0.6169767056945178,0.837537638961365,0.6438957693841094,0.6563979925122039,0.5422983367320127,0.7661645002569946,0.8626703544225487,0.8643312032190466,0.7732808395085048,0.9608796997821499,0.7221529239715374,0.7369596549566392,0.6182071034508959,0.853042566578033,0.39470132883654324,0.4158651899707843,0.2620041812013236,0.5843843480943995,0.1877062596543901,0.15492757686381908,0.06311844381544195,0.24935955190122397,0.713662509981607,0.7163023645864214
34,cozy-normal-year,Normal,Normal,4987.6011563922175,0.7810811439263002,0.7247481927951416,0.6131850955632889,0.8312806036302731,0.6288423411653196,0.653737389053061,0.5392317936042692,0.7653034289691403,0.8632675603690798,0.8666619890783834,0.7737845613564269,0.9623809518296426,0.7393066340279191,0.7377415279772964,0.6190169751538332,0.8562471769748046,0.3737703424778311,0.4100988710827481,0.260299540416671,0.5732935011723785,0.17542323520795478,0.15217814769348992,0.05989915425957086,0.24487814156699692,0.7123201788681129,0.7151531253081882
35,cozy-normal-year,Normal,Normal,3941.995734410781,0.7911465926734821,0.7378608455560787,0.6284342293551798,0.8489351898524532,0.618169762241942,0.6602236552161679,0.5506808060799483,0.7685199630761348,0.8630943093515552,0.8678387927467018,0.7752334185555142,0.9606544088573641,0.7401332414952707,0.7362176842901065,0.6157966886949596,0.8538165492247195,0.3628750987686892,0.40149526018498105,0.2528735152040615,0.560828824245619,0.15356510703285045,0.1507886998767029,0.05834100482023763,0.24147861734219758,0.7125487579125374,0.7183190626725712
36,cozy-normal-year,Busy,Busy,522.4688030751922,0.7792316513563968,0.7321356848934333,0.6211619781736222,0.8423905859794113,0.5971926318117645,0.6441144835158699,0.5339976095897907,0.754790774774195,0.8654202616631304,0.8668550674890563,0.7790366932773298,0.9655830668065783,0.7305939934590081,0.7301889057162037,0.621243325465346,0.8471002109342303,0.35758948241952654,0.40401909747786874,0.25043097762386574,0.5652391053639337,0.17352560939762643,0.15729058027834844,0.06262136359722421,0.2565382484445501,0.7015212286095451,0.7117273252669201
37,cozy-normal-year,Leave,Busy,2702.0196922022897,0.7835284948250073,0.7286339679697964,0.616825389819348,0.8363624425316205,0.5983744528901475,0.6251033021303798,0.521906764159598,0.7310920592480239,0.8742136694062598,0.8664216581640437,0.7779900540424622,0.9622702171524009,0.7334875077052627,0.7201501855094532,0.6107536996771306,0.8358692787074316,0.38109851684799717,0.3891492885551655,0.23902174396744996,0.5456462237714562,0.1781050532835111,0.16618435579556795,0.0685898366292701,0.2592609703671247,0.7069398089300608,0.702126287242991
38,cozy-normal-year,Leave,Leave,1758.424013279916,0.7770394402915194,0.7173402393560517,0.6132050096717933,0.8223162377254594,0.5793867782266469,0.6040100688586899,0.4956833558458589,0.7085737871633168,0.8742771638375747,0.8667344865639587,0.7821351384344055,0.9615670381903758,0.7087369404785,0.7112297371388004,0.6071416222139576,0.8237236586909531,0.35543150413385316,0.3847894488830841,0.23143589510133086,0.5422014168160801,0.176278673210416,0.1707899255519191,0.07609035756742608,0.2641526690300449,0.6944367351868923,0.6925152623757089
39,cozy-normal-year,Leave,Leave,3347.8427430688043,0.7706353944352909,0.7182689583934393,0.6105701738367421,0.824596414383696,0.5945009426289766,0.6139525003493306,0.5045726143897233,0.7195557447568923,0.8875839220183063,0.8705449079006294,0.7859074293113714,0.9619897698505157,0.6923674903644867,0.715331552657583,0.6079770169785695,0.8292623125292284,0.358438253961514,0.38720506976016456,0.23412265477739497,0.5477762987772508,0.19244031142663656,0.16994713529370492,0.07531205328640181,0.2607765648147448,0.6958193663106785,0.6969364117477386
40,cozy-normal-year,Leave,Leave,2164.8041545565743,0.7841420777341739,0.7147361785103862,0.6091747789142046,0.8196480929561413,0.5864276220739084,0.6016639245500847,0.49265430212768896,0.701401135049439,0.9040492234438263,0.8721638915551715,0.7854718151989983,0.9651354007271491,0.6849848513493918,0.7082202581582416,0.6007063629596636,0.823611178896956,0.36142548830302473,0.3722591700012361,0.21761451724157113,0.5320871590864629,0.18151865822309649,0.17298395302361164,0.07800317129148943,0.2642278745242422,0.6997648383063194,0.6904666262835185
41,cozy-normal-year,Busy,Leave,3807.831076978083,0.7856570031711848,0.7119135425069107,0.6068693503400953,0.8159252867959806,0.5851577502174338,0.5930107697366878,0.48108557555336223,0.6935901454791241,0.9034604317332046,0.8715575745924338,0.7856067704329062,0.9637915074878968,0.6698099867409023,0.7040323250367858,0.5977003731078017,0.8168254621191353,0.33262689376987015,0.372872178688182,0.21674413407194407,0.5327321392884409,0.17589185096285748,0.17785106048561858,0.08510915207073312,0.26725104683895134,0.694569155568757,0.6865846506169265
42,cozy-normal-year,Normal,Normal,888.8143420413414,0.7958921905803443,0.7145435562001796,0.6119182159994947,0.818415028814164,0.6132288491746318,0.5945502698498151,0.49057354812856985,0.6998377932885327,0.9122371403241976,0.8656854027203952,0.7726718091017485,0.9633721434085812,0.6866001245999035,0.704543174874038,0.5988444897981956,0.8162268900777143,0.33571122086847194,0.38177206504338584,0.23071070007793343,0.5374248728761138,0.17444237455398262,0.17992408265163795,0.08445831656246976,0.27118215030015913,0.7083552514390777,0.6871219149920199
43,cozy-normal-year,Normal,Normal,4828.643509160202,0.8070707462524424,0.7179870365417667,0.6136780146633988,0.8177767731454659,0.6209191913859381,0.6022730818010201,0.4980231004729691,0.7075365198352739,0.9184451730614767,0.8717880114246706,0.7796459215046886,0.9678360071900075,0.6985896005669443,0.7074330209165213,0.601037379065815,0.8218005829914926,0.33521318924308185,0.3820844835049443,0.2319822796604844,0.5409783589025635,0.1707885588574444,0.1737825572930069,0.08075539815857852,0.2642325871092155,0.7157604978059251,0.6920038601155937
44,cozy-normal-year,Normal,Normal,3504.7060951519097,0.8182091236522979,0.7359835460825945,0.6300434525385806,0.832128566216146,0.6201593816444675,0.608790412338911,0.5052351286023534,0.7128213080666268,0.9155491300493613,0.8691064856443879,0.7786682763957946,0.9625421322546407,0.695633157098055,0.7030316591968757,0.5995655712521452,0.8146753316416991,0.3314697732371303,0.37076765254790545,0.22015292028722933,0.5251437043788093,0.16601953734577526,0.17424315556726389,0.08191172427664305,0.26479386869222676,0.7165883401355984,0.6943411302035158
45,cozy-normal-year,Normal,Normal,2693.5517976323326,0.8028007785927957,0.7416491720807723,0.6382693466996828,0.8399779921127404,0.6087709828278864,0.6156769193427029,0.511352309063503,0.7197100802408484,0.926983588807077,0.8683560719726549,0.7796355442996988,0.9614592396599009,0.6859741283808583,0.7039104329725787,0.5999426063371709,0.8152098428809277,0.3197493675799508,0.36751237952151233,0.2152814571640007,0.5208073062833062,0.16308832520973465,0.17126115415052667,0.0815985892793988,0.261041396164458,0.7107130620688487,0.6970132108126721
46,cozy-normal-year,Normal,Normal,5349.505491638918,0.8149469615862818,0.7334217586247326,0.6300260624402466,0.8299066118401556,0.6369959059334034,0.6111541896992324,0.5068620709296383,0.7169598908572052,0.9130754876430127,0.8722144969681039,0.7820475379211794,0.9632543883100548,0.6636622565950065,0.7077345431390651,0.6013929678906903,0.8187749608975899,0.34930272545843555,0.36643987825594165,0.21427361459019845,0.5181707905499751,0.16642633960929626,0.17037101066124954,0.08040591273313576,0.25973281137720733,0.7165211539921834,0.6957561758151599
47,cozy-normal-year,Normal,Normal,4309.477078505582,0.8118260459491669,0.7457575455512514,0.6439768535018148,0.8432398150916679,0.6423562438881582,0.6222881424508453,0.5190688510564359,0.7272533096418559,0.9139712685100131,0.873373807437821,0.783762573887797,0.96494343445213,0.6747000179377598,0.710772363781974,0.6036757421187813,0.8187494483223441,0.3095622319370363,0.36810493857656185,0.21641290677006686,0.5205427765541334,0.15936939592314558,0.16602089904515374,0.07697440483281648,0.25500277996422355,0.7155789117356931,0.7020961868435232
48,cozy-normal-year,Normal,Normal,1153.3106706183144,0.8220669177977319,0.7534872437556418,0.648060980219895,0.8483750938660611,0.6320401978928355,0.6167250426022011,0.5080330393758936,0.7209950804904365,0.9072976482108268,0.8699280566013481,0.7838971299248741,0.9575886747007802,0.648607303673058,0.714004273425895,0.6064385433821898,0.8234410592384566,0.3229793072988148,0.3730402495273375,0.21873195929804445,0.5195668592826272,0.1499812306374489,0.16495899392112867,0.07527650264267337,0.2521638987948471,0.71174839364578,0.7025737876508729
49,cozy-normal-year,Normal,Normal,4917.772959323368,0.8197099256929454,0.746365554051701,0.6451765850914701,0.8432578368967484,0.6271633305656756,0.6101399198892474,0.5048974808380355,0.7132856551493709,0.8899175166567239,0.8708824813296621,0.7829917310725336,0.9597369359372084,0.6580988851788827,0.7144668596888072,0.6059180646282892,0.8213312849794202,0.31948974462724294,0.3780121934748482,0.22706648957707376,0.530129750664314,0.162616390527516,0.16330057335287956,0.07197326223776632,0.24873848424148715,0.7065001770823602,0.7006232574647051
50,cozy-normal-year,Normal,Normal,3539.772445747679,0.826606779073817,0.7414527697328902,0.6404409577105874,0.8401515945983693,0.6225440747378634,0.608048254506267,0.5040530171830705,0.7118514700195461,0.9052040581737386,0.87275177712821,0.7851926640446918,0.9604823472754558,0.6748797492072788,0.7151300353065349,0.6041845180197528,0.8246747993702469,0.31100860142816467,0.3748746939960421,0.22719747338208057,0.5278749760654151,0.15665197239193457,0.16057072272338183,0.06738271331438349,0.24880567006812568,0.7119925593435699,0.6996238673204009
51,cozy-normal-year,Normal,Normal,1996.976031488784,0.8001962688273496,0.7376206922356775,0.6406197190480003,0.837983174865845,0.6252617366909778,0.598340132013695,0.49051073791226196,0.7017810946510765,0.9119969981440665,0.8715181173002824,0.782147438791606,0.9603296550587338,0.6896839319068416,0.7109092974014513,0.5977049941869914,0.8210049190383313,0.322674938717415,0.3651824613420207,0.2142652449930495,0.5137695404182238,0.16097478532763937,0.16179613751615202,0.07001822321410922,0.25119684976996876,0.7124963560217271,0.6943963256461414
