state,truth_mean,truth_std,truth_min,truth_max,truth_span,estimate_std,mean_estimate_minus_truth,initial_estimate_minus_truth
P,0.7937321546573888,0.035756130495765134,0.6916723593365098,0.8756789217457548,0.18400656240924496,0.034118939730806895,-0.06189871167055859,-0.1226334115942238
M,0.6945397460236556,0.030365741712899914,0.6176126659173753,0.7655927769947122,0.14798011107733688,0.027350557450934173,0.010543829744484283,-0.08351335112439529
V,0.8904501674409613,0.02383518016877755,0.8344260233963944,0.9586051279225349,0.12417910452614056,0.019728421716275455,0.008084944068593726,-0.07371074585696202
C,0.5873561260540169,0.07433200120058925,0.4174548380482902,0.7,0.28254516195170976,0.07570886690665987,-0.0989983465715343,-0.1056678649617897
E,0.4051091791741725,0.05704136659857961,0.2762088553815186,0.5280041653896108,0.2517953100080922,0.028246278698993856,0.040919278699002894,-0.0777936270450606
F,0.13394282380312655,0.03491207482601231,0.027987676595321916,0.22635026948637485,0.19836259289105293,0.014709397045730366,0.003927316446546665,0.06718229853644664
